,Date,State,District,Confirmed
0,2020-04-26,Andhra Pradesh,Anantapur,53
1,2020-04-27,Andhra Pradesh,Anantapur,53
2,2020-04-28,Andhra Pradesh,Anantapur,54
3,2020-04-29,Andhra Pradesh,Anantapur,58
4,2020-04-30,Andhra Pradesh,Anantapur,61
5,2020-05-01,Andhra Pradesh,Anantapur,67
6,2020-05-02,Andhra Pradesh,Anantapur,71
7,2020-05-03,Andhra Pradesh,Anantapur,78
8,2020-05-04,Andhra Pradesh,Anantapur,78
9,2020-05-05,Andhra Pradesh,Anantapur,80
10,2020-05-06,Andhra Pradesh,Anantapur,80
11,2020-05-07,Andhra Pradesh,Anantapur,83
12,2020-05-08,Andhra Pradesh,Anantapur,99
13,2020-05-09,Andhra Pradesh,Anantapur,102
14,2020-05-10,Andhra Pradesh,Anantapur,107
15,2020-05-11,Andhra Pradesh,Anantapur,115
16,2020-05-12,Andhra Pradesh,Anantapur,115
17,2020-05-13,Andhra Pradesh,Anantapur,118
18,2020-05-14,Andhra Pradesh,Anantapur,118
19,2020-05-15,Andhra Pradesh,Anantapur,122
20,2020-05-16,Andhra Pradesh,Anantapur,122
21,2020-05-17,Andhra Pradesh,Anantapur,122
22,2020-05-18,Andhra Pradesh,Anantapur,122
23,2020-05-19,Andhra Pradesh,Anantapur,122
24,2020-05-20,Andhra Pradesh,Anantapur,136
25,2020-05-21,Andhra Pradesh,Anantapur,136
26,2020-05-22,Andhra Pradesh,Anantapur,136
27,2020-05-23,Andhra Pradesh,Anantapur,136
28,2020-05-24,Andhra Pradesh,Anantapur,136
29,2020-05-25,Andhra Pradesh,Anantapur,136
30,2020-05-26,Andhra Pradesh,Anantapur,136
31,2020-05-27,Andhra Pradesh,Anantapur,206
32,2020-05-28,Andhra Pradesh,Anantapur,209
33,2020-05-29,Andhra Pradesh,Anantapur,209
34,2020-05-30,Andhra Pradesh,Anantapur,209
35,2020-05-31,Andhra Pradesh,Anantapur,216
36,2020-06-01,Andhra Pradesh,Anantapur,220
37,2020-06-02,Andhra Pradesh,Anantapur,223
38,2020-06-03,Andhra Pradesh,Anantapur,231
39,2020-06-04,Andhra Pradesh,Anantapur,238
40,2020-06-05,Andhra Pradesh,Anantapur,255
41,2020-06-06,Andhra Pradesh,Anantapur,274
42,2020-06-07,Andhra Pradesh,Anantapur,288
43,2020-06-08,Andhra Pradesh,Anantapur,306
44,2020-06-09,Andhra Pradesh,Anantapur,306
45,2020-06-10,Andhra Pradesh,Anantapur,351
46,2020-06-11,Andhra Pradesh,Anantapur,366
47,2020-06-12,Andhra Pradesh,Anantapur,403
48,2020-06-13,Andhra Pradesh,Anantapur,418
49,2020-06-14,Andhra Pradesh,Anantapur,463
50,2020-06-15,Andhra Pradesh,Anantapur,485
51,2020-06-16,Andhra Pradesh,Anantapur,513
52,2020-06-17,Andhra Pradesh,Anantapur,580
53,2020-06-18,Andhra Pradesh,Anantapur,642
54,2020-06-19,Andhra Pradesh,Anantapur,692
55,2020-06-20,Andhra Pradesh,Anantapur,789
56,2020-06-21,Andhra Pradesh,Anantapur,800
