,Unnamed: 0,Unnamed: 0.1,State,District,MapeScore arima,MapeScore var,MapeScore poly
0,0,0,Bihar,Munger,11.362465443810427,10.98060542347574,2.1273266193016527
2,2,2,Tamil Nadu,Kancheepuram,9.737994587103485,7.188084463058764,1200295.6183592528
3,3,3,Tamil Nadu,Tiruvannamalai,7.14003802688398,1.8830943573296703,35.80602062255675
8,8,8,Uttar Pradesh,Mathura,2.227698475132508,10.410881958772515,5.594226782568687
12,12,12,Gujarat,Rajkot,6.878831169289413,6.706755940998912,28.1627014514772
15,15,15,Uttar Pradesh,Hamirpur,30.625623233572284,18.310487173425997,17.19366796663146
16,16,16,Haryana,Rohtak,12.313491008828812,3.6395152245977296,96276036.09159335
18,18,18,Maharashtra,Satara,24.78205344406096,15.31588664834407,40.40327761289074
21,21,21,Uttar Pradesh,Kanpur Nagar,7.044062697782032,6.0630244269069875,7.36253793364343
23,23,23,Uttar Pradesh,Auraiya,8.404412103702443,0.29520687222316616,5.792440794055456
26,26,26,Haryana,Karnal,22.769878414562093,4.511083721121381,35.31455011446425
29,29,29,Odisha,Ganjam,9.857465646586986,1.4965051974270944,244.00435607326904
31,31,31,Kerala,Thiruvananthapuram,5.418645932013125,20.83536190906966,1.9360205811283555
32,32,32,Madhya Pradesh,Mandsaur,11.318196881663717,7.562780148119824,32.426839572605545
33,33,33,Uttar Pradesh,Rae Bareli,8.623266484990182,3.828228058139465,8.993106867559845
34,34,34,Chhattisgarh,Durg,28.31448392133781,3.8434436612079463,794.633604068863
39,39,39,Madhya Pradesh,Jhabua,14.1546592864208,2.025783294702189,25.328567727106844
40,40,40,Andhra Pradesh,Kurnool,14.210542006028627,8.87380429840728,30.421133305021847
42,42,42,Uttar Pradesh,Lucknow,7.659140265798384,16.040597321265274,9.893131328443303
44,44,44,Uttarakhand,Almora,35.029805165998724,0.3185085492063635,21.910403402294275
47,47,47,Karnataka,Gadag,10.022493772836519,15.655344527437528,468.2921064741076
52,52,52,Uttar Pradesh,Bareilly,1.5956978347913813,14.780665151147009,21.08257090880489
58,58,58,Jharkhand,Giridih,14.360447307927355,2.0503332057745247,98.01340885849872
59,59,59,Uttar Pradesh,Agra,20.581535442204675,8.068217454438901,6.692397264427775
61,61,61,Bihar,Madhepura,18.055659637621602,1.7675292387644828,6.7809110513652415
63,63,63,Uttar Pradesh,Bijnor,12.182046837871662,5.447543339450972,5.291929196857335
68,68,68,Rajasthan,Karauli,9.71529369489886,7.863491484703448,14.317751627426588
72,72,72,Chandigarh,Chandigarh,8.070539154220178,21.465055152017182,20.685189858423374
74,74,74,Uttar Pradesh,Chitrakoot,3.5211375375383445,15.274875867249213,16.365559238986993
75,75,75,Haryana,Faridabad,13.719327669299455,2.8141207400196424,2.313960059825856
90,90,90,Karnataka,Dakshina Kannada,9.207006469421485,4.707552761442416,29.212263919477277
91,91,91,Madhya Pradesh,Raisen,7.816309945149019,15.583129740951184,15.846373886317036
92,92,92,Gujarat,Valsad,1.6501008794263097,6.037373643545053,51.17783908106137
93,93,93,Jharkhand,Bokaro,29.43905702743816,34.88096022426408,219.50629831829227
94,94,94,Madhya Pradesh,Sehore,13.193630670187767,2.2549559663404573,20.782500173357466
97,97,97,Uttar Pradesh,Mahoba,13.468835656593257,5.866990404383569,9.938493910437906
98,98,98,Madhya Pradesh,Hoshangabad,18.419203319294173,30.390926739702568,31.179936301869482
99,99,99,Maharashtra,Solapur,6.348296881089933,5.110812789068948,24.379300159315264
100,100,100,Madhya Pradesh,Ashoknagar,29.193482025677838,3.4798389603644955,3.7368001997327447
103,103,103,Madhya Pradesh,Dhar,24.40816944013521,15.21224488226452,23.56764709406732
108,108,108,Gujarat,Gandhinagar,1.5482399119267436,3.4523020374307025,2.719478249874781
112,112,112,Maharashtra,Mumbai,5.824594452529111,1.6414698321195802,1.6863407442716984
113,113,113,Bihar,Siwan,27.87372920295961,1.1646129280822983,4.588432886209501
116,116,116,Uttar Pradesh,Jhansi,1.6836455507020096,4.920756161643764,1.5740776652371617
119,119,119,Madhya Pradesh,Chhindwara,20.311842684178487,18.71558252169376,117.88724365266626
121,121,121,Maharashtra,Nanded,16.391136417562333,6.252899731335735,71.93618739243789
122,122,122,Uttar Pradesh,Jaunpur,6.564207424188912,1.5434775102935143,3.504762390865731
123,123,123,Rajasthan,Jaipur,11.200564280136792,13.89490780926876,2.828855191635911
126,126,126,Haryana,Sonipat,18.391778930325998,3.662783187941273,21.1254928152774
127,127,127,Madhya Pradesh,Indore,9.737915090357063,5.557785452770134,3.7746517054803004
128,128,128,Uttar Pradesh,Siddharthnagar,10.762986950320856,1.5066029543738817,1.855329479091104
129,129,129,Punjab,Rupnagar,8.389968143882074,41.27418675016385,23.92862689708307
131,131,131,Maharashtra,Jalgaon,2.0963241660340977,6.3624847204743125,5.3470050177290265
132,132,132,Punjab,Tarn Taran,16.353394962931993,0.5054142272954739,18.327177307124316
133,133,133,Haryana,Ambala,9.371848555162936,4.0193580648704,5.5418911496088195e+26
134,134,134,Maharashtra,Aurangabad,94.86940881786914,61.385553973422155,612.9234052084006
138,138,138,Uttar Pradesh,Azamgarh,6.1646733176083215,4.1798248323767515,14.608945336643234
140,140,140,Gujarat,Anand,5.413919259231303,8.777882662981604,9.068194764247647
141,141,141,Bihar,Sitamarhi,17.736046782139965,17.33726364176037,8.671053772124388
142,142,142,Tamil Nadu,Ramanathapuram,10.078286533837208,1.743149295790153,32.85854436802891
145,145,145,Uttar Pradesh,Muzaffarnagar,21.646164302562838,2.888222637072543,22.159317011322358
150,150,150,Chhattisgarh,Bilaspur,57.11036267995064,28.49121849504878,1699.6008476885954
154,154,154,Madhya Pradesh,Bhopal,1.7040584124526563,3.6341964473178385,21.466665358842
155,155,155,Uttar Pradesh,Unnao,3.2775420595914166,2.2302365685000467,1.9242531322695082
157,157,157,Gujarat,Bhavnagar,2.4406862603469603,20.924863471119675,38.50100164710875
