,Unnamed: 0,State,District,MapeScore arima,MapeScore var,MapeScore poly
0,0,Bihar,Munger,11.362465443810427,10.980605423475739,
1,1,Punjab,Fatehgarh Sahib,25.650700638232266,,
2,2,Tamil Nadu,Kancheepuram,9.737994587103485,7.188084463058764,
3,3,Tamil Nadu,Tiruvannamalai,7.14003802688398,1.8830943573296706,
4,4,Himachal Pradesh,Una,32.37576555449623,,
5,5,Kerala,Idukki,8.067519377906843,,
6,6,Karnataka,Mandya,15.738850703094986,,
7,7,Karnataka,Koppal,3.8588913476757543,,
8,8,Uttar Pradesh,Mathura,2.227698475132508,10.410881958772517,
9,9,Jammu and Kashmir,Jammu,45.01256571185601,11.799692425709837,
10,10,Chhattisgarh,Bastar,6.32042458065306,,
11,11,Madhya Pradesh,Sheopur,5.193649878551559,,
12,12,Gujarat,Rajkot,6.878831169289413,6.706755940998913,
13,13,Arunachal Pradesh,Lower Subansiri,2.438964202289395,,
14,14,Punjab,Sangrur,13.90231082698509,,
15,15,Uttar Pradesh,Hamirpur,30.625623233572284,18.310487173425994,
16,16,Haryana,Rohtak,12.313491008828812,3.6395152245977296,
17,17,Uttar Pradesh,Fatehpur,2.98429751365998,,
18,18,Maharashtra,Satara,24.78205344406096,15.31588664834407,
19,19,Jharkhand,Jamtara,12.476086705477348,,
20,20,Karnataka,Yadgir,4.317000699475602,,
21,21,Uttar Pradesh,Kanpur Nagar,7.044062697782033,6.063024426906987,
22,22,Odisha,Koraput,18.600899307219386,,
23,23,Uttar Pradesh,Auraiya,8.404412103702443,0.29520687222316616,
24,24,West Bengal,Dakshin Dinajpur,5.5587251728382885,,
25,25,Madhya Pradesh,Singrauli,14.551094797356846,,
26,26,Haryana,Karnal,22.769878414562093,4.511083721121381,
27,27,Jammu and Kashmir,Rajouri,26.88823108790266,,
28,28,Haryana,Sirsa,27.11971221167232,,
29,29,Odisha,Ganjam,9.857465646586986,1.4965051974270944,
30,30,Himachal Pradesh,Chamba,13.269938414687502,,
31,31,Kerala,Thiruvananthapuram,5.418645932013125,20.83536190906966,
32,32,Madhya Pradesh,Mandsaur,11.318196881663717,7.562780148119824,
33,33,Uttar Pradesh,Rae Bareli,8.623266484990182,3.828228058139465,
34,34,Chhattisgarh,Durg,28.314483921337814,3.843443661207946,
35,35,Meghalaya,West Khasi Hills,1.1271696104030509,,
36,36,Uttar Pradesh,Shahjahanpur,4.327773766219184,,
37,37,Uttar Pradesh,Bahraich,26.87255859928187,,
38,38,Andhra Pradesh,West Godavari,1.2349128578277473,,
39,39,Madhya Pradesh,Jhabua,14.1546592864208,2.0257832947021894,
40,40,Andhra Pradesh,Kurnool,14.210542006028627,8.87380429840728,
41,41,Meghalaya,East Khasi Hills,21.40577274424746,35.14761188260227,
42,42,Uttar Pradesh,Lucknow,7.659140265798384,16.040597321265277,
43,43,Uttarakhand,Tehri Garhwal,2.119642453093344,,
44,44,Uttarakhand,Almora,35.029805165998724,0.3185085492063635,
45,45,Arunachal Pradesh,Changlang,1.2162452538976891,,
46,46,Arunachal Pradesh,Anjaw,11.324607671781767,,
47,47,Karnataka,Gadag,10.022493772836519,15.655344527437528,
48,48,Meghalaya,West Garo Hills,3.7728865532451166,,
49,49,Tamil Nadu,Namakkal,19.925664696006887,,
50,50,Jharkhand,Pakur,1.1179763857104543,,
51,51,West Bengal,Nadia,9.322718060266208,,
52,52,Uttar Pradesh,Bareilly,1.5956978347913813,14.780665151147007,
53,53,Jammu and Kashmir,Samba,18.48936444406863,,
54,54,Bihar,Araria,5.120189552410091,,
55,55,Odisha,Dhenkanal,9.461082354859137,,
56,56,Madhya Pradesh,Bhind,6.619181081490287,,
57,57,Jammu and Kashmir,Ganderbal,4.4288147576542976,,
58,58,Jharkhand,Giridih,14.360447307927355,2.050333205774525,
59,59,Uttar Pradesh,Agra,20.581535442204675,8.0682174544389,
60,60,Maharashtra,Washim,18.582989126050773,,
61,61,Bihar,Madhepura,18.055659637621602,1.7675292387644828,
62,62,Rajasthan,Hanumangarh,13.347155522321925,,
63,63,Uttar Pradesh,Bijnor,12.182046837871662,5.447543339450972,
64,64,Puducherry,Karaikal,20.077308130613254,,
65,65,Maharashtra,Wardha,12.596619050365266,,
66,66,Haryana,Bhiwani,7.720279269508293,,
67,67,Karnataka,Uttara Kannada,9.535081566599274,,
68,68,Rajasthan,Karauli,9.71529369489886,7.863491484703447,
69,69,Chhattisgarh,Rajnandgaon,39.52061435432584,,
70,70,Kerala,Ernakulam,12.682499958679767,11.83557814488133,
71,71,Madhya Pradesh,Damoh,2.304374478239837,,
72,72,Chandigarh,Chandigarh,8.070539154220178,21.465055152017182,
73,73,Chhattisgarh,Mahasamund,3.3207002392033296,,
74,74,Uttar Pradesh,Chitrakoot,3.5211375375383445,15.274875867249213,
75,75,Haryana,Faridabad,13.719327669299455,2.8141207400196424,
76,76,Gujarat,Tapi,10.751234032787194,,
77,77,Rajasthan,Ganganagar,2.1349967490841584,,
78,78,Odisha,Bhadrak,6.485528842164209,,
79,79,Jharkhand,Saraikela-Kharsawan,8.94338554949001,,
80,80,Bihar,Bhagalpur,8.300168201812145,,
81,81,Maharashtra,Ratnagiri,10.450713626968318,3.855182416582327,
82,82,Jammu and Kashmir,Kupwara,7.955443613552386,0.6192067516834489,
83,83,Haryana,Kaithal,9.565214734064616,,
84,84,Jammu and Kashmir,Kishtwar,52.391373055769975,,
85,85,Jammu and Kashmir,Ramban,22.190964393237447,,
86,86,Uttar Pradesh,Varanasi,5.586123382060168,,
87,87,Tripura,South Tripura,2.9360164840100205,,
88,88,Arunachal Pradesh,West Kameng,5.553960287144156,,
89,89,Bihar,Lakhisarai,13.754712608578114,,
90,90,Karnataka,Dakshina Kannada,9.207006469421485,4.7075527614424155,
91,91,Madhya Pradesh,Raisen,7.816309945149019,15.583129740951184,
92,92,Gujarat,Valsad,1.6501008794263097,6.037373643545053,
93,93,Jharkhand,Bokaro,29.43905702743816,34.88096022426408,
94,94,Madhya Pradesh,Sehore,13.193630670187767,2.2549559663404573,
95,95,Gujarat,Amreli,1.3299661815511097,,
96,96,Jharkhand,Dhanbad,42.810002274540786,,
97,97,Uttar Pradesh,Mahoba,13.468835656593257,5.866990404383569,
98,98,Madhya Pradesh,Hoshangabad,18.419203319294173,30.390926739702568,
99,99,Maharashtra,Solapur,6.348296881089933,5.110812789068948,
100,100,Madhya Pradesh,Ashoknagar,29.193482025677838,3.4798389603644955,
101,101,Madhya Pradesh,Rewa,17.145042098006037,,
102,102,Madhya Pradesh,Shahdol,13.597047024007015,,
103,103,Madhya Pradesh,Dhar,24.40816944013521,15.21224488226452,
104,104,Arunachal Pradesh,Upper Subansiri,4.486686845724255,,
105,105,Jharkhand,Deoghar,10.26133625688658,,
106,106,Himachal Pradesh,Kinnaur,3.1433817087149665,,
107,107,West Bengal,Murshidabad,14.746192380628454,4.081698685959405,
108,108,Gujarat,Gandhinagar,1.5482399119267436,3.4523020374307025,
109,109,Madhya Pradesh,Chhatarpur,2.100056973568138,,
110,110,Uttar Pradesh,Gonda,29.44844301466602,,
111,111,Gujarat,Narmada,2.0717404148006184,,
112,112,Maharashtra,Mumbai,5.824594452529111,1.6414698321195802,
113,113,Bihar,Siwan,27.87372920295961,1.1646129280822983,
114,114,Nagaland,Kohima,9.771935093110468,,
115,115,West Bengal,Paschim Medinipur,9.944829749484963,,
116,116,Uttar Pradesh,Jhansi,1.6836455507020096,4.920756161643765,
117,117,Jharkhand,Gumla,10.076897266139929,,
118,118,Arunachal Pradesh,East Siang,2.2445440387524354,,
119,119,Madhya Pradesh,Chhindwara,20.311842684178487,18.715582521693758,
120,120,Odisha,Gajapati,0.7619894045507659,,
121,121,Maharashtra,Nanded,16.391136417562333,6.252899731335735,
122,122,Uttar Pradesh,Jaunpur,6.564207424188912,1.5434775102935145,
123,123,Rajasthan,Jaipur,11.200564280136792,13.894907809268759,
124,124,Maharashtra,Latur,4.448432956073977,7.791787716959197,
125,125,Maharashtra,Amravati,18.603154872006627,13.809803309598385,
126,126,Haryana,Sonipat,18.391778930325998,3.662783187941273,
127,127,Madhya Pradesh,Indore,9.737915090357063,5.557785452770134,
128,128,Uttar Pradesh,Siddharthnagar,10.762986950320856,1.5066029543738817,
129,129,Punjab,Rupnagar,8.389968143882074,41.274186750163864,
130,130,Jammu and Kashmir,Doda,63.459435595294565,,
131,131,Maharashtra,Jalgaon,2.0963241660340977,6.3624847204743125,
132,132,Punjab,Tarn Taran,16.353394962931993,0.505414227295474,
133,133,Haryana,Ambala,9.371848555162936,4.0193580648704,
134,134,Maharashtra,Aurangabad,94.86940881786914,61.385553973422155,
135,135,Jammu and Kashmir,Anantnag,3.0757841928307146,5.875975234163156,
136,136,Odisha,Nuapada,10.289082651395127,,
137,137,Maharashtra,Gadchiroli,9.809278121723752,,
138,138,Uttar Pradesh,Azamgarh,6.1646733176083215,4.179824832376751,
139,139,Chhattisgarh,Uttar Bastar Kanker,15.496160347775538,,
140,140,Gujarat,Anand,5.413919259231303,8.777882662981604,
141,141,Bihar,Sitamarhi,17.736046782139965,17.33726364176037,
142,142,Tamil Nadu,Ramanathapuram,10.078286533837208,1.7431492957901533,
143,143,Karnataka,Dharwad,3.042677479629918,,
144,144,Mizoram,Lawngtlai,3.055501128177167,,
145,145,Uttar Pradesh,Muzaffarnagar,21.64616430256284,2.888222637072543,
146,146,Tamil Nadu,Sivaganga,8.858693887505895,,
147,147,Madhya Pradesh,Katni,10.860939786225796,,
148,148,Jammu and Kashmir,Kulgam,12.662308487399489,0.684164843123312,
149,149,Tamil Nadu,Nagapattinam,19.665233116647087,,
150,150,Chhattisgarh,Bilaspur,57.11036267995064,28.49121849504878,
151,151,Haryana,Yamunanagar,20.07261874446685,,
152,152,Madhya Pradesh,Alirajpur,12.878241738893445,,
153,153,Uttar Pradesh,Farrukhabad,6.786448155584988,,
154,154,Madhya Pradesh,Bhopal,1.7040584124526563,3.634196447317839,
155,155,Uttar Pradesh,Unnao,3.2775420595914166,2.2302365685000467,
156,156,Bihar,Gaya,17.698846100466707,,
157,157,Gujarat,Bhavnagar,2.4406862603469603,20.924863471119675,
158,158,Bihar,Sheohar,9.61421224380793,,
159,159,Punjab,Shahid Bhagat Singh Nagar,7.0978036525009225,33.63182830457275,
160,160,Rajasthan,Bundi,5.215513526889918,,
161,161,Karnataka,Udupi,17.234026803498757,2.8772186545706466,
162,162,Odisha,Balangir,4.053095453439709,,
163,163,Bihar,Jamui,1.2209133513708914,,
164,164,Kerala,Pathanamthitta,5.04535948543128,2.4707705475954813,
165,165,Rajasthan,Tonk,8.051056169573519,30.230276078177365,
166,166,Odisha,Bargarh,2.3482804982363774,,
167,167,Andhra Pradesh,Guntur,3.002845383098982,8.908024382485106,
168,168,Haryana,Panipat,4.3653422821215955,12.14543374981352,
169,169,Madhya Pradesh,Betul,20.44804920049621,,
170,170,Bihar,Nalanda,20.103497649130205,0.5899890805173328,
171,171,Odisha,Khordha,4.712796079742158,18.640738124841047,
172,172,Chhattisgarh,Dhamtari,17.366164049626892,,
173,173,Punjab,Moga,35.28176724248979,,
174,174,Madhya Pradesh,Guna,4.7454519559187105,,
175,175,Kerala,Palakkad,11.705521508688587,1.0416553974850007,
176,176,Uttar Pradesh,Banda,27.676158376587672,,
177,177,Uttar Pradesh,Rampur,8.322948409892964,0.5197418359356749,
178,178,Uttar Pradesh,Etah,10.887408940882347,13.41488810096777,
179,179,Rajasthan,Pali,3.743709866485554,2.5623279777790735,
180,180,Rajasthan,Jodhpur,1.975658566540768,3.9853862613503868,
181,181,Uttar Pradesh,Basti,7.519230789041278,12.099859388158585,
182,182,Odisha,Jharsuguda,22.15479317231856,,
183,183,Tamil Nadu,Viluppuram,3.159530589503288,6.89762562814642,
